tag_id;taggable_id;taggable_type
67;208;Proposal
10;209;Proposal
65;209;Proposal
11;209;Proposal
23;209;Proposal
12;209;Proposal
55;210;Proposal
105;210;Proposal
10;210;Proposal
60;210;Proposal
0;210;Proposal
145;211;Proposal
175;211;Proposal
11;211;Proposal
100;211;Proposal
65;211;Proposal
165;212;Proposal
135;212;Proposal
70;212;Proposal
136;212;Proposal
166;212;Proposal
5;213;Proposal
10;213;Proposal
60;213;Proposal
110;213;Proposal
111;213;Proposal
10;214;Proposal
45;214;Proposal
65;214;Proposal
46;214;Proposal
11;214;Proposal
55;215;Proposal
105;215;Proposal
10;215;Proposal
85;215;Proposal
4;215;Proposal
65;216;Proposal
23;216;Proposal
67;216;Proposal
68;216;Proposal
69;216;Proposal
175;217;Proposal
11;217;Proposal
15;217;Proposal
65;217;Proposal
160;217;Proposal
190;218;Proposal
187;218;Proposal
192;218;Proposal
5;218;Proposal
193;218;Proposal
105;219;Proposal
90;219;Proposal
115;219;Proposal
91;219;Proposal
116;219;Proposal
25;220;Proposal
5;220;Proposal
4;220;Proposal
181;220;Proposal
26;220;Proposal
90;221;Proposal
115;221;Proposal
125;221;Proposal
116;221;Proposal
93;221;Proposal
185;222;Proposal
186;222;Proposal
187;222;Proposal
188;222;Proposal
189;222;Proposal
185;223;Proposal
0;223;Proposal
20;223;Proposal
70;223;Proposal
5;223;Proposal
70;224;Proposal
65;224;Proposal
190;224;Proposal
187;224;Proposal
85;224;Proposal
185;226;Proposal
5;226;Proposal
50;226;Proposal
120;226;Proposal
105;226;Proposal
40;227;Proposal
35;227;Proposal
20;227;Proposal
36;227;Proposal
125;227;Proposal
70;228;Proposal
25;228;Proposal
19;228;Proposal
26;228;Proposal
27;228;Proposal
195;229;Proposal
65;229;Proposal
23;229;Proposal
4;229;Proposal
181;229;Proposal
120;230;Proposal
70;230;Proposal
65;230;Proposal
195;230;Proposal
69;230;Proposal
10;231;Proposal
65;231;Proposal
11;231;Proposal
12;231;Proposal
23;231;Proposal
110;232;Proposal
0;232;Proposal
111;232;Proposal
112;232;Proposal
4;232;Proposal
70;233;Proposal
65;233;Proposal
23;233;Proposal
19;233;Proposal
67;233;Proposal
65;234;Proposal
23;234;Proposal
67;234;Proposal
68;234;Proposal
69;234;Proposal
105;235;Proposal
65;235;Proposal
4;235;Proposal
181;235;Proposal
23;235;Proposal
90;236;Proposal
60;236;Proposal
105;236;Proposal
5;236;Proposal
91;236;Proposal
10;237;Proposal
175;237;Proposal
11;237;Proposal
0;237;Proposal
50;237;Proposal
90;238;Proposal
91;238;Proposal
65;238;Proposal
92;238;Proposal
93;238;Proposal
105;239;Proposal
70;239;Proposal
195;239;Proposal
91;239;Proposal
61;239;Proposal
120;240;Proposal
185;240;Proposal
70;240;Proposal
